,study_id,M.DF1,V.DF1,M.DFM,V.DFM,M.PRR,V.PRR,M.PRN,V.PRN
1,10001,0.293452381,0.049990705,0.493471018,0.122259551,0.211309524,0.016403436,0.179195988,0.014114192
2,10004,0.271164021,0.109450373,0.449773166,0.298776784,0.173611111,0.01814059,0.147336793,0.016473819
3,10022,0.375462963,0.158046909,0.914275967,0.781132811,0.273809524,0.021355417,0.254881533,0.027571689
4,10023,0.202733686,0.015987059,0.35057023,0.080852333,0.157738095,0.014508929,0.13123706,0.009619138
5,10026,0.414153439,0.088324978,1.201070164,0.47070726,0.342261905,0.016694178,0.338220427,0.027798671
6,10027,0.409567901,0.11851055,1.175306459,0.857462425,0.342261905,0.01284889,0.310087934,0.023813149
7,10028,0.471671076,0.095319297,1.284513189,0.35826372,0.392857143,0.003742122,0.365480429,0.011883682
8,10030,0.386485891,0.093115662,1.202808722,1.228378688,0.305555556,0.030514289,0.282663311,0.038162768
9,10031,0.426190476,0.10110044,0.825512859,0.384778049,0.288194444,0.022694755,0.256644611,0.024065334
10,10032,0.371254209,0.242788208,0.997236323,0.981136487,0.30406746,0.020947181,0.258115211,0.035302439
11,10033,0.600154321,0.119493893,1.53866384,0.938318041,0.362103175,0.029920301,0.355581198,0.035076309
12,10034,0.492791005,0.133642536,1.224210752,0.585841464,0.350694444,0.015313678,0.334421007,0.020213441
13,10036,0.247162097,0.096530325,0.424341114,0.232549321,0.182043651,0.014425822,0.143690616,0.019580768
14,10037,0.28633157,0.076882942,0.749588057,0.300160996,0.268849206,0.019722472,0.243534167,0.02388715
15,10038,0.151984127,0.030850507,0.295151211,0.060211492,0.169146825,0.009289393,0.112654442,0.008211654
16,10039,0.303330928,0.094483728,0.789932226,0.386799201,0.291666667,0.018119748,0.248116375,0.019437659
17,10040,0.148458794,0.017542308,0.552633933,0.19908402,0.251488095,0.016799689,0.192701955,0.019867371
18,10041,0.378439153,0.173953229,0.985794963,0.782089517,0.312996032,0.023291869,0.267441193,0.025946705
19,10042,0.519246032,0.206569336,1.212039221,1.268012572,0.306547619,0.021130327,0.294444087,0.023928905
20,10043,0.254433221,0.11242843,0.562049714,0.476869639,0.216269841,0.023639664,0.169473239,0.028054271
21,10045,0.235670194,0.070417091,0.367091867,0.148483245,0.146825397,0.01392953,0.130824269,0.01287862
22,10047,0.630892256,0.307951207,1.211428925,0.953593889,0.343253968,0.016114779,0.313921596,0.020192213
23,10048,0.156723986,0.02171777,0.219650706,0.049356459,0.131448413,0.00620691,0.084615786,0.007091344
24,10049,0.168386243,0.039718424,0.451053887,0.138519875,0.214285714,0.009603842,0.161468265,0.011793889
25,10050,0.297134039,0.033319338,0.528906304,0.104318881,0.22172619,0.013338929,0.192749953,0.011665633
26,10051,0.152050265,0.027391257,0.229330248,0.055582368,0.128968254,0.010693861,0.087708485,0.007604345
27,10053,0.392328042,0.058508941,0.730448382,0.197617561,0.276289683,0.022991749,0.247937775,0.017114548
28,10054,0.172949735,0.027104476,0.284975029,0.098135681,0.14781746,0.013985803,0.105475277,0.01181864
29,10055,0.194091711,0.012736518,0.282133589,0.033135738,0.139880952,0.007427971,0.109292242,0.004667977
30,10059,0.17962963,0.036650808,0.388386028,0.064043477,0.188988095,0.010159533,0.146664594,0.0082175
31,10061,0.325529101,0.061399764,0.640530887,0.159902539,0.265376984,0.011693479,0.223767389,0.014288464
32,10062,0.252843915,0.032139045,0.454932837,0.079914059,0.208333333,0.009566327,0.169759672,0.010423306
33,10064,0.191269841,0.030503535,0.343453458,0.051890813,0.161706349,0.007398793,0.131059098,0.006884521
34,10065,0.201016114,0.054983252,0.420352654,0.162329641,0.21031746,0.012241355,0.150054039,0.017672866
35,10067,0.163492063,0.028944244,0.272265251,0.074977803,0.148809524,0.007334184,0.101980576,0.008328521
36,10068,0.63481241,0.087311317,1.600737693,0.784657116,0.400793651,0.00997795,0.38688926,0.018976903
37,10070,0.697322431,0.137256526,1.961282606,1.443747108,0.38640873,0.022901088,0.390799811,0.027918569
38,10072,0.252699615,0.047418128,0.468110278,0.176713015,0.214285714,0.018260429,0.165174417,0.017171787
39,10073,0.236507937,0.037749767,0.377182227,0.09859866,0.17609127,0.012209311,0.140370018,0.012744853
40,10074,0.625874126,0.174061528,1.322525059,0.641619632,0.371031746,0.016799428,0.350141044,0.021873274
41,10075,0.257275132,0.02332194,0.412732792,0.171846036,0.157242063,0.018318004,0.145457895,0.016407098
42,10076,0.354088504,0.078834011,0.639585052,0.200819011,0.259920635,0.016111653,0.21998348,0.018361373
43,10077,0.379960317,0.036340578,0.790832203,0.243208724,0.280257937,0.022350867,0.260793586,0.019601699
44,10078,0.58042328,0.11502727,1.355538116,0.426580891,0.385912698,0.014120231,0.370922294,0.01770079
45,10079,0.25527898,0.048355304,0.733882168,0.262314427,0.280257937,0.017427023,0.242598987,0.019648213
46,10080,0.203747795,0.034921287,0.309729359,0.076902056,0.150793651,0.008392941,0.116880074,0.010246804
47,10081,0.30244709,0.070075109,0.602228097,0.280799761,0.227678571,0.019575799,0.199526918,0.020873478
48,10082,0.154144621,0.033089573,0.48963214,0.172763725,0.232638889,0.018217964,0.173445932,0.01864173
49,10084,0.235295414,0.047113928,0.380944015,0.124283456,0.17906746,0.019690428,0.139339253,0.015005494
50,10085,0.308112875,0.065333712,0.85389643,0.377975535,0.28422619,0.02362742,0.26551426,0.026143103
51,10087,0.216666667,0.046090436,0.580967818,0.164848101,0.268353175,0.009861497,0.204698544,0.016743806
52,10088,0.182738095,0.048621824,0.388110445,0.155200611,0.200892857,0.019050589,0.1392259,0.017853039
53,10089,0.27563933,0.050824351,0.467654224,0.116638764,0.22172619,0.009174764,0.170646453,0.013302413
54,10092,0.347266314,0.060186387,0.567723798,0.167015752,0.206349206,0.019328565,0.199493636,0.015748925
55,10093,0.129761905,0.026630152,0.284133298,0.078299684,0.168154762,0.012785583,0.106964152,0.010013782
56,10094,0.362962963,0.031797701,0.671869274,0.115589813,0.276289683,0.011840413,0.238172835,0.011365482